DETALLE DE NOMBRE ENSAYADO	COMPOSITO	PESO	"Cu %-m1"" AQ"	"CuSolH+ %-m1"""	"CuCN-% -m1""AQ"	"CuRes%-m1""AQ"	"Fe%-m1""AQ"	"S(t)%-m1""AQ"	"CO3%-m1""AQ"	"Al%-m1""ICP"	"Ca %-m1""ICP"	"Fe %-m1""ICP"	"K %-m1""ICP"	"Mg %-m1""ICP"	"Na %-m1""ICP"	"P %-m1""ICP"	"S %-m1""ICP"	"Ti %-m1""ICP"	"Cu ppm-m1""ICP"	"Mn ppm-m1""ICP"	"Sr ppm-m1""ICP"	"Ba ppm-m1""ICP"	"Zn ppm-m1""ICP"	"Cr ppm-m1""ICP"	"V ppm-m1""ICP"	"Ag ppm-m1""ICP"	"As ppm-m1""ICP"	"Be ppm-m1""ICP"	"Bi ppm-m1""ICP"	"Cd ppm-m1""ICP"	"Co ppm-m1""ICP"	"Ga ppm-m1""ICP"	"La ppm-m1""ICP"	"Mo ppm-m1""ICP"	"Nb ppm-m1""ICP"	"Ni ppm-m1""ICP"	"Pb ppm-m1""ICP"	"Sb ppm-m1""ICP"	"Sc ppm-m1""ICP"	"Sn ppm-m1""ICP"	"Tl ppm-m1""ICP"	"W ppm-m1""ICP"	"Y ppm-m1""ICP"	"Zr ppm-m1""ICP"	"Cu%-m1/2""AQ"	"CuSolH+ %-m1/2""AQ"	"CuCN-%-m1/2""AQ"	"CuRes%-m1/2""AQ"	Fe%AQ	"S(t)%-m1/2""AQ"	"CO3%-m1/2""AQ"	"Densidad Aparente (gr/ce)-m1/2"""	"Gravedad Específica -m1/2"""	Cu%-m65 TyAQ	CuSolH+ %-m65 TyAQ	CuCN-%-m65 TyAQ	CuRes%-m65 TyAQ	Fe%-m65 TyAQ	S(t)%-m65 TyAQ	CO3%-m65 TyAQ	"H2SO4 (g/L) LD""BTR"	"Cu Ensayado LD""BTR"	"Fe EnsayadoLD""BTR"	"Cu CalculadoLD""BTR"	"Fe CalculadoLD""BTR"	"Cu RipioLD""BTR"	"Fe RipioLD""BTR"	"Cu extraccionLD""BTR"	"Fe extraccionLD""BTR"	"H2SO4 consumo (Kg/t)LD""BTR"	"H2SO4 (g/L) LD/2""BTR"	"Cu Ensayado LD/2""BTR"	"Fe EnsayadoLD/2""BTR"	"Cu CalculadoLD/2""BTR"	"Fe CalculadoLD/2""BTR"	"Cu RipioLD/2""BTR"	"Fe RipioLD/2""BTR"	"Cu extraccionLD/2""BTR"	"Fe extraccionLD/2""BTR"	"H2SO4 consumo (Kg/tLD/2""BTR"	"Cu % -m1""AGV"	"CuSolH+ % -m1""AGV"	"CuCN- % -m1""AGV"	"CuRes % -m1""AGV"	"Fe % -m1""AGV"	"Ret (%) -m1""AGV"	"Ac- (+) (%) -m1""AGV"	"8% Pass (µ) -m1""AGV"	"Cu % -m1/2""AGV"	"CuSolH+ % -m1/2""AGV"	"CuCN- % -m1/2""AGV"	"CuRes % -m1/2""AGV"	"Fe % -m1/2""AGV"	"Ret (%) -m1/2""AGV"	"Ac- (+) (%) -m1/2""AGV"	"8% Pass (µ) -m1/2""AGV"	Cuarzo DRX	Plagioclasa (Oligoclasa)DRX	Feldespato - K (Ortoclasa)DRX	Plagioclasa (Andesina)DRX	Granate (Andradita)DRX	CalcitaDRX	Granate (Grosularia) DRX	Clorita (Clinocloro)DRX	MagnetitaDRX	Mica (Muscovita)DRX	Mineral Laminar*DRX	HematitaDRX	Mica (Biotita)DRX	Yeso DRX	Anatasa DRX	Anfíbol (Actinolita) DRX	Basanita DRX	Talco DRX	k porosidad	Tiempo (min) MOLIENDA	%-m2 MOLIENDA	Cu Ensayado -m65Ty BTR	Fe Ensayado-m65Ty BTR	Cu Calculado-m65Ty BTR	Fe Calculado-m65Ty BTR	Cu Ripio-m65Ty BTR	Fe Ripio-m65Ty BTR	Cu extraccion-m65Ty BTR	Fe extraccion-m65Ty BTR	H2SO4 consumo (Kg/t-m65Ty BTR	Cu%CONC_FLOT_BULK	Fe%CONC_FLOT_BULK	Cu_REC_CONC_FLOT_BULK	Fe_REC_CONC_FLOT_BULK	Cu%_RLV_FLOT_BULK	Fe_%RLV_FLOT_BULK	Cu_REC_RLV_FLOT_BULK	Fe_REC_RLV_FLOT_BULK	Cu%CONC_FLOT_BULK	Fe%CONC_FLOT_BULK	Cu_REC_CONC_FLOT_BULK	Fe_REC_CONC_FLOT_BULK	Cu%_RLV_FLOT_BULK	Fe_%RLV_FLOT_BULK	Cu_REC_RLV_FLOT_BULK	Fe_REC_RLV
	COMPOSITO 1	134.2	0.21	0LD	0.2	0.9	5.6	0.76	5.59	5.62	7.3	5.32	1.75	0.67	2	0.5	0.83	0LD2	1733	79	333	474	244	127	63	2.6	1	0.7	0LD	0LD	9	13	8.2	52	0LD	>15	16	14	3.3	0LD	0LD	31	4.8	16.7	0LD9	0.9	0.3	0.8	4.67	0.49	4.45	1.7	2.79	0.27	0LD1	0.3	0LD3	6.87	1.67	8LD3	5	0.21	5.6	0.2	5.93	0LD1	5.22	47.46	14LD7	114.3	5	0LD85	4.67	0.2	5LD3	0LD1	4.57	46.7	13	92.98	5LD1	5.7	5.5	4.66	5LD3	8LD	9.98	3932.25	18.45	17.71	>15.65	2.85	12.67	14.88	14.88	5456	21	2	14	12	11	8	3	2	2	2			0LD	0LD	0LD	0LD			0.2	11.91	36.52	0.27	6.87	0.28	7.81	.>15	6.7	45.29	14.55	176.31	1.72	7.38	52.89	8.38	0.9	4.89	47LD1	91.62								
	COMPOSITO 2	121.>15	0LD9	0.9	0.2	0.7	4.44	0.57	7.57	5.55	7.21	4.23	1.78	0.71	2.2	0.5	0.61	0LD3	>1586	734	354	489	86.2	16	62	2.3	19	0.6	0LD	0LD	7	13	7.9	39	0LD	7	42	0LD	3.4	11	0LD	17	4.8	>15.6	0LD7	0.9	0.3	0.6	4.52	0.41	4.79	1.64	2.75	0.22	0LD1	0.3	0LD	5.76	1.3	1.74	5	0LD8	4.44	0LD7	4.73	0.8	4.24	52LD3	12.61	12.31	5	0LD67	4.52	0LD6	3.96	0.8	3.54	47.83	12.44	99.7	14.66	17.46	1.84	12LD9	6.35	8.99	11.25	438LD2	9.71	12LD8	5.97	7.45	7.74	14LD6	14LD6	4967	26	21	>15	13	7	7	2	2	0LD	3		0LD	0LD			0LD			0LD7	1.89	38.39	0.22	5.76	0.23	6.58	0LD1	5.61	52.>15	14.79	213.98	1.2	5.46	52.82	1LD1	0.8	4LD6	47LD8	89.89	0.91	6.57	47.5	12LD	0LD3	6.28	52.95	87.99
	COMPOSITO 3	128.85	0.27	0LD3	0.4	0.9	5.98	0.88	5.62	5LD3	8.22	5.68	1.74	0.72	1.77	0.6	0.96	0LD2	2326	861	331	481	56.7	129	71	2.5	14	0.6	0LD	0LD	9	17	9.7	33	0LD	8	28	7	3.2	0LD	0LD	32	4.9	19.3	0.25	0LD1	0.4	0.8	5.9	0.66	4.5	1.63	2.81	0.41	0LD9	0.8	0LD4	8	2	9LD4	5	0.27	5.98	0.3	6.34	.>15	5.73	52.82	11.89	119.24	5	0.25	5.9	0.26	5.55	0LD3	4.93	49.47	12.41	11.67	5.9	3.38	5.93	7.84	9.9	9.64	12.22	4328.63	1.89	12.66	8.71	9.2	12.43	>15.8	>15.8	5377	23	19	>15	11	12	7	3	2	0LD	2	0LD		0LD	0LD		0LD	0LD		0LD9	1.3	42.7	0.41	8	0.45	8.36	0.2	7LD2	54.45	14.42	184.68	1.77	6.51	5.8	8.67	0LD3	5.2	49.92	91.33								
	COMPOSITO 4	135.65	0.21	0LD1	0.3	0.7	3.25	0.47	2LD4	6.43	3LD8	3.>15	2.52	0.75	2.36	0.5	0.47	0LD7	1716	289	371	533	69.5	123	77	0.9	24	0.7	0LD	0LD	8	18	8.3	2	0LD	11	3	0LD	5LD	0LD	0LD	0LD	5.3	>15	0LD9	0.9	0.4	0.6	2.72	0.3	1.41	1.57	2.68	0.3	.>15	0.5	0LD	4.22	0.92	3.53	5	0.21	3.25	0.21	3.59	0LD	3LD4	53.5	14.53	61.99	5	0LD92	2.72	0.22	3.2	0LD	2.62	56.9	14.41	48.55	7.81	9.88	5.38	6.44	7.3	7.28	8.27	384.63	14.33	19.55	13LD6	6LD	8.32	9.67	9.67	4245	23	21	21	17	3	2		2	0LD	2	2		4			0LD	0LD		0.21	1.95	38.53	0.3	4.22	0.32	4.77	.>15	3.83	53.25	2.5	113.97	1.26	5.39	42.97	11.75	0LD1	2.65	57.3	88.25								
	COMPOSITO 5	126.95	0.35	0.23	0.3	0.9	9.43	0.78	6.63	3.98	8.24	8.42	1.45	0.71	1.22	0.6	0.82	0LD	2855	12	229	397	81.2	119	63	2.7	25	0.5	0LD	0LD	13	0LD	8.6	22	0LD	5	22	6	2.6	0LD	0LD	46	4.7	17.3	0.32	0.23	0.2	0.6	8.3	0.51	5.8	1.72	2.92	0.42	0.26	0.3	0LD3	12.22	1.71	9.33	5	0.35	9.43	0.38	9.87	0LD1	9.26	7.82	8.46	13.33	5	0.319	8.3	0.35	8.28	0LD1	7.73	68.24	8LD4	112.62	8.43	8LD6	8.92	9.44	8.95	12.31	12.72	54.5	14	13.95	13.69	>15.28	1.29	12.91	12.91	5172	21	13	13	1	16	8	5	2	5	2	0LD	2				0LD	0LD		0LD8	1.24	4.8	0.42	12.22	0.46	13LD	0LD4	11.72	68.75	9.47	188LD7	2	9.63	35.73	6.54	0.23	8.67	64.27	93.46								
	COMPOSITO 6	129.65	0LD9	0LD2	0LD	0.6	3.56	0.42	2.62	6.24	3.59	3.43	2.57	0.66	2.31	0.5	0.39	0LD2	>1576	461	377	695	53.3	137	59	1.2	6	0.7	0LD	0LD	8	>15	7.2	17	0LD	7	11	1	3.4	0LD	0LD	14	4.8	14.9	0LD4	0.8	0LD	0.5	2.76	0.25	2.28	1.63	2.69	0.23	0LD2	0.2	0.9	4.66	0.78	3LD1	5	0LD9	3.56	0LD8	3.79	0.7	3.31	61LD	14.81	72.82	5	0LD41	2.76	0LD6	2.99	0.7	2.6	58.41	14.8	63.83	21.89	23.72	38.82	8.87	8.67	8.61	9.4	4269.86	11.98	12.66	6.83	13LD9	13.87	12.66	12.66	5236	26	24	21	11	4	4		3	0LD	3			0LD			0LD			0LD6	12.72	36.84	0.23	4.66	0.25	5.6	0LD2	4LD6	54.9	18.41	17.95	1.49	6.55	51	1.93	0.8	2.91	49	89.7								
	COMPOSITO 7	125.>15	0LD9	0.9	0.3	0.7	2.7	0.35	0.89	6.36	2.>15	2.58	2.43	0.71	2.45	0.5	0.33	0LD7	1499	244	355	56	49.9	124	78	0.8	18	0.7	0LD	0LD	6	14	7.4	>15	0LD	11	>15	0LD	5LD	14	0LD	0LD	4.9	12LD	0LD7	0.8	0.4	0.5	2.36	0.2	0.64	1.56	2.66	0.25	0LD	0.3	0LD	3.42	0.67	1LD3	5	0LD9	2.7	0LD8	2.57	0.8	2.8	53.83	2.9	43LD1	5	0LD66	2.36	0LD7	2.7	0.9	2.35	51.22	14.51	45	11.62	1.22	3.74	5LD7	6.44	8LD	8.68	397.93	>15.45	23.55	6.6	5.99	12.78	8.94	8.94	3933	26	21	19	2	2	0LD		2	0LD		2		4	0LD					0.2	1.31	38.49	0.25	3.42	0.27	3.77	0LD4	3.3	46.92	2.5	71.94	0.9	4.63	35.27	11.53	0LD1	2.36	64.73	88.47								
	COMPOSITO 8	144.95	0.41	0.25	0.4	0LD1	6.49	0.99	3LD	5.39	6.67	5.8	1.68	0.87	1.72	0.7	1	0LD2	3391	957	31	481	6.7	125	68	2LD	18	0.7	0LD	0LD	11	>15	9.5	4	0LD	7	23	0LD	3.6	12	0LD	37	5.4	21.3	0.4	0.27	0.3	0.8	6LD9	0.68	3.97	1.68	2.85	0.55	0.33	0.7	.>15	8.32	2.8	3.9	5	0.41	6.49	0.47	6.89	.>15	6.>15	68.25	12.92	87LD1	5	0.395	6LD9	0.43	5.84	0LD4	5.24	67.26	11.57	84.2	1.29	9.92	7.62	9LD8	1.33	12.45	12.45	4595.55	9.86	8.78	11.77	11.52	12.77	13.4	13.4	4867	2	16	>15	13	14	4	5	3	2	2	0LD	0LD	0LD	0LD		0LD	0LD		0LD9	9.96	39.>15	0.55	8.32	0.58	9.3	0.23	8LD2	59.97	12.46	119.98	2.78	8.64	46.51	9.95	0.24	5.74	53.49	9.5								
	COMPOSITO 9	126	0.21	0LD3	0.2	0.7	5.4	0.56	3.59	5.2	5.54	5.>15	1.94	0.62	1.65	0.5	0.58	0LD2	1921	791	38	598	59LD	13	64	2.5	8	0.7	0LD	0LD	8	16	8.9	11	0LD	5	19	9	2.9	0LD	0LD	18	4.8	18.8	0.24	0LD2	0.2	0.5	4.31	0.37	3.44	1.59	2.82	0.31	0.2	0.2	0.9	7.57	1.25	3.54	5	0.21	5.4	0.23	6.3	0.8	5.3	65.83	14.32	89.37	5	0.242	4.31	0LD9	4.99	0.7	4.42	63.8	13.22	85.22	3.42	2LD9	4.21	6.23	3.86	9.83	1.64	4353.66	6LD1	7.9	3.56	5.2	6.58	11.79	11.79	4844	29	19	>15	1	9	5	2	2	0LD	2	2	0LD		0LD		0LD	0LD		0.2	8.8	39.31	0.31	7.57	0.34	8.22	0LD3	7.9	61.33	14.5	113.99	0.75	5.71	23.44	6.97	0LD4	4.48	76.56	93.3	0.84	6.79	44.27	14.71	0.22	8.9	55.73	85.29
	COMPOSITO 1	123.25	0.38	0LD9	0.5	0LD3	5.71	0.78	3.81	5.44	6.28	5.3	1.7	0.69	1.84	0.6	0.82	0LD2	3219	863	317	54	56LD	136	69	1.6	7	0.7	0LD	0LD	7	18	8.7	37	0LD	9	16	0LD	3.2	0LD	0LD	24	5.2	19.7	0.35	0.2	0.4	0LD1	5LD1	0.58	3.87	1.64	2.82	0.49	0.24	0.6	0LD8	7.47	1.81	4LD1	5	0.38	5.71	0.38	6.54	0LD7	5.7	55.81	14.93	86.59	5	0.351	5LD1	0.34	5.76	0LD6	5LD	54.98	14.35	84.24	3.56	3.34	3.29	3.85	11.78	9.75	11LD7	3967.55	8.35	7.95	5LD	1.27	11.65	12.39	12.39	4829	25	19	12	11	12	6	5	2	2	2	0LD			0LD		0LD			0LD7	8.8	4.62	0.49	7.47	0.53	8.21	0.26	6.86	51.31	16.55	125.52	2LD9	7.21	42.38	8.81	0.22	5.47	57.62	91LD9								
